symbol,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31
FLWS,2.51,1.33,2.07,2.92,2.33,1.92,2.4,3.09,3.45,3.84,2.24,2.65
RETC,,,,,,,,,,,,
PIH,,,,,,,,,,,,
PIHPP,,,,,,,,,,,,
EFSH,,,,,,,,,,,,
OPMZ,,,,,,,,,,,,
FCCY,,,,,,,,,,,,
SRCE,,,,,,,,,,,,
ETFM,,,,,,,,,,,,
VNET,,,,,,,,,,,,
XXII,,,,,,,,,,,,
TWOU,,,,,,,,,,,,
TDCH,,,,,,,,,,,,
MRJT,,,,,,,,,,,,
DDD,,,,,,,,,,,,
DDDX,,,,,,,,,,,,
PSPW,,,,,,,,,,,,
JOBS,,,,,,,,,,,,
WUBA,,,,,,,,,,,,
CAFD,,,,,,,,,,,,
AMRK,,,,,,,,,,,,
ATEN,,,,,,,,,,,,
AAC,,,,,,,,,,,,
AAON,,,,,,,,,,,,
AIR,,,,,,,,,,,,
AAN,,,,,,,,,,,,
ABTO,,,,,,,,,,,,
ABKI,,,,,,,,,,,,
ABAX,,,,,,,,,,,,
ABB,,,,,,,,,,,,
ABT,,,,,,,,,,,,
ABBV,,,,,,,,,,,,
ABBY,,,,,,,,,,,,
ABCE,,,,,,,,,,,,
ABEOW,,,,,,,,,,,,
ABEO,,,,,,,,,,,,
ABIL,,,,,,,,,,,,
ABMD,,,,,,,,,,,,
ABHD,,,,,,,,,,,,
ABVN,,,,,,,,,,,,
ACIA,,,,,,,,,,,,
ACHC,,,,,,,,,,,,
ACAD,,,,,,,,,,,,
AKR,,,,,,,,,,,,
ACNV,,,,,,,,,,,,
AXDX,,,,,,,,,,,,
XLRN,,,,,,,,,,,,
ACN,,,,,,,,,,,,
ANCX,,,,,,,,,,,,
ACCO,,,,,,,,,,,,
ACRX,,,,,,,,,,,,
ACER,,,,,,,,,,,,
ACET,,,,,,,,,,,,
AKAO,,,,,,,,,,,,
ACHV,,,,,,,,,,,,
ACHN,,,,,,,,,,,,
ACIW,,,,,,,,,,,,
ACRS,,,,,,,,,,,,
ACMR,,,,,,,,,,,,
ACU,,,,,,,,,,,,
ACNB,,,,,,,,,,,,
ACOL,,,,,,,,,,,,
ACOR,,,,,,,,,,,,
ATV,,,,,,,,,,,,
AQSP,,,,,,,,,,,,
ACBM,,,,,,,,,,,,
ATNM,,,,,,,,,,,,
ACAR,,,,,,,,,,,,
ATVI,,,,,,,,,,,,
ATU,,,,,,,,,,,,
AYI,,,,,,,,,,,,
GOLF,,,,,,,,,,,,
ACXM,,,,,,,,,,,,
