symbol,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31
A,18.08,13.87,15.37,18.26,18.23,20.31,23.22,25.68,27.83,24.74,28.92,31.07
AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AABB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AABC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AACC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AACE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAIIQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAL,5.67,2.85,2.53,3.79,2.58,2.43,2.93,3.4,4.7,3.06,3.69,4.84
AAMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AAMU,,,,,,,,,,,,
AAN,17.6,20.0,23.4,30.45,26.0,23.5,22.0,20.85,21.02,19.47,20.14,22.5
AANB,,,,,,,,,,,,
AANI,,,,,,,,,,,,
AAOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAON,18.12,15.52,18.12,19.48,20.8,19.92,19.61,20.88,20.08,18.01,18.94,19.49
AAOR,,,,,,,,,,,,
AAP,32.73,38.25,41.08,43.75,42.59,41.49,46.23,42.3,39.28,37.26,39.3,40.48
AAPH,,,,,,,,,,,,
AAPL,90.13,89.31,105.12,125.83,135.81,142.43,163.39,168.21,185.35,188.5,199.91,210.732
AAPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARI,,,,,,,,,,,,
AARS,,,,,,,,,,,,
AASP,,,,,,,,,,,,
AASR,,,,,,,,,,,,
AAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AATI,,,,,,,,,,,,
AAUI,,,,,,,,,,,,
AAVG,,,,,,,,,,,,
AAXT,,,,,,,,,,,,
AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAT,,,,,,,,,,,,
ABAX,15.82,15.64,17.24,15.12,17.49,20.54,26.77,26.6,26.75,22.82,22.47,25.55
ABBB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABBC,,,,,,,,,,,,
ABBC,,,,,,,,,,,,
ABBK,,,,,,,,,,,,
ABBV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABC,36.32,31.76,32.66,33.64,37.1,17.74,19.72,21.31,22.38,22.15,24.69,26.07
ABCB,7.66,4.97,4.71,6.55,6.27,6.32,6.48,6.45,7.15,5.89,6.61,7.16
ABCC,,,,,,,,,,,,
ABCD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCO,,,,,,,,,,,,
ABCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCR,,,,,,,,,,,,
ABCR,,,,,,,,,,,,
ABCW,,,,,,,,,,,,
ABDV,,,,,,,,,,,,
ABER,,,,,,,,,,,,
ABEW,,,,,,,,,,,,
ABF,,,,,,,,,,,,
ABFI,,,,,,,,,,,,
ABFS,,,,,,,,,,,,
ABG,3.58,2.85,4.31,9.67,9.5,10.24,13.99,12.5,12.68,9.74,10.66,11.53
ABGTF,,,,,,,,,,,,
ABGX,,,,,,,,,,,,
ABH,,,,,,,,,,,,
ABHD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHH,,,,,,,,,,,,
ABI,,,,,,,,,,,,
ABII,,,,,,,,,,,,
ABIX,,,,,,,,,,,,
ABK,,,,,,,,,,,,
ABKB,,,,,,,,,,,,
ABKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL,,,,,,,,,,,,
ABLE,,,,,,,,,,,,
ABM,,,,,,,,,,,,
ABMC,,,,,,,,,,,,
ABMD,13.49,6.81,4.9,6.67,5.94,8.82,7.5,8.28,9.71,9.05,8.46,8.73
ABMT,,,,,,,,,,,,
ABNC,,,,,,,,,,,,
ABNJ,,,,,,,,,,,,
ABNS,,,,,,,,,,,,
ABOS,,,,,,,,,,,,
ABOZ,,,,,,,,,,,,
ABPH,,,,,,,,,,,,
ABPI,,,,,,,,,,,,
ABPR,,,,,,,,,,,,
ABR,,,,,,,,,,,,
ABRI,,,,,,,,,,,,
ABRK,,,,,,,,,,,,
ABRM,,,,,,,,,,,,
ABRX,,,,,,,,,,,,
ABS,,,,,,,,,,,,
ABS,,,,,,,,,,,,
ABSC,,,,,,,,,,,,
ABT,55.44,47.34,47.7,41.85,45.06,47.04,44.99,45.23,49.47,50.57,54.49,53.99
ABTL,,,,,,,,,,,,
ABTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABVA,,,,,,,,,,,,
ABVT,,,,,,,,,,,,
