,6-30-2014,6-30-2013,6-30-2012,6-30-2011
Cash And Cash Equivalents,23308715,6947972,18386288,13344426
Short Term Investments,,,,
Net Receivables,41647165,38716023,29670552,15998268
Inventory,4500987,2781734,3795915,1511021
Other Current Assets,13161823,13073282,10329601,29280
Total Current Assets,82618690,61519011,62182356,31818270
Long Term Investments,,,,
Property Plant and Equipment,21128489,17678453,11681272,5214962
Goodwill,5222658,5202209,5092139,
Intangible Assets,75521078,80111852,65847744,42596648
Accumulated Amortization,,,,
Other Assets,275334,1112873,594508,485039
Deferred Long Term Asset Charges,,,,
Total Assets,184766249,165624398,145398019,80114919
Accounts Payable,6107200,5081913,3334101,1291907
Short/Current Long Term Debt,22054494,23172138,35336000,2052657
Other Current Liabilities,6975884,10974104,3586063,1671618
Total Current Liabilities,39586014,44186731,30434218,9328515
Long Term Debt,7435800,5000000,20300000,
Other Liabilities,8143826,8048113,8161269,2878397
Deferred Long Term Liability Charges,,,,485039
Minority Interest,,,,
Negative Goodwill,,,,
Total Liabilities,55165640,57234844,58895487,12206912
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,17965,17861,17861,17861
Retained Earnings,96645974,74756759,55633242,45985217
Treasury Stock,8114171,8999581,6236076,3559355
Capital Surplus,24822499,24615353,24615353,18345574
Other Stockholder Equity,8114171,8999581,6236076,3559355
Total Stockholder Equity,129600609,108389554,86502532,67908007
Net Tangible Assets,48856873,23075493,15562649,25311359
Total Revenue,175086238,151792917,137372492,81328555
Cost of Revenue,42376170,37196569,33532900,17293680
Gross Profit,132710068,114596348,103839592,64034875
Research Development,,,,
Selling General and Administrative,97757372,83416640,73566324,44914695
Non Recurring,,,,
Others,,,,
Total Operating Expenses,142674893,123226249,109001025,62437248
Operating Income or Loss,32411345,28566668,28371467,18891307
Total Other Income/Expenses Net,856001,2422860,11408560,121414
Earnings Before Interest and Taxes,32411345,28566668,28371467,18891307
Interest Expense,2286707,1967527,11194301,4097716
Income Before Tax,31555344,26143808,16962907,18769893
Income Tax Expense,9666129,7020291,7314882,4765018
Minority Interest,,,,
Net Income From Continuing Ops,21889215,19123517,9648025,14004875
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,21889215,19123517,9648025,14004875
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,21889215,19123517,9648025,14004875
Net Income,21889215,19123517,9648025,14004875
Depreciation,4665643,4673978,3654080,366338
Adjustments To Net Income,108414,192112,145896,3170581
Changes In Accounts Receivables,2784702,8275584,6309216,4831672
Changes In Liabilities,1099540,1650110,428745,498030
Changes In Inventories,1711849,1079465,900652,704725
Changes In Other Operating Activities,25399,1598378,3470791,1606771
Total Cash Flow From Operating Activities,25006067,20563149,20607540,10958943
Capital Expenditures,460387,4457481,1508956,88152
Investments,,,,
Other Cash flows from Investing Activities,843654,843654,8989967,8989967
Total Cash Flows From Investing Activities,11088492,37503032,18814081,14492630
Dividends Paid,,,,
Sale Purchase of Stock,,,6297328,1870955
Net Borrowings,4039163,8003722,3452197,3567549
Other Cash Flows from Financing Activities,,2875898,2875898,564976
Total Cash Flows From Financing Activities,4039163,5127824,2845131,1131618
Effect Of Exchange Rate Changes,1595995,373743,403272,860649
Change In Cash and Cash Equivalents,16360743,11438316,5041862,3804656
